neighborhood,avg_rent_2021,avg_income_2021,affordability_index,str_density_per_1000_homes,vulnerability_score,pct_rent,housing_units_2025,population_2021
Sant Martí de Provençals,806.29,18692.55,0.04,6.09,0.53,19.29,11828.0,26229.0
el Fort Pienc,942.78,22639.17,0.04,32.51,0.44,32.75,15687.0,33445.0
el Congrés i els Indians,774.95,19960.83,0.04,7.7,0.41,25.06,7141.0,14549.0
"Vallvidrera, el Tibidabo i les Planes",1213.47,27079.14,0.04,12.33,0.21,22.89,3082.0,4760.0
el Putxet i el Farró,1004.21,28336.56,0.04,15.89,0.3,36.43,16619.0,29986.0
el Poblenou,945.74,22287.97,0.04,27.52,0.47,29.01,17367.0,34411.0
Canyelles,743.24,18483.72,0.04,0.34,0.42,11.58,2922.0,6813.0
Montbau,740.37,19874.4,0.04,5.07,0.36,25.32,2563.0,5114.0
Sant Gervasi - la Bonanova,1217.4,33986.54,0.04,,0.15,35.36,,25984.0
la Salut,888.25,24665.79,0.04,10.5,0.31,29.58,7050.0,13455.0
les Tres Torres,1543.03,37785.94,0.04,7.2,0.05,28.0,7084.0,16356.0
Sants - Badal,793.06,19484.65,0.04,,0.45,29.16,,24903.0
el Baix Guinardó,823.67,21429.11,0.04,12.51,0.43,29.3,12625.0,25842.0
Vallcarca i els Penitents,941.2,25478.53,0.04,9.58,0.31,31.99,9187.0,16325.0
la Guineueta,677.13,19351.6,0.03,1.91,0.46,19.9,6801.0,15267.0
Sant Gervasi - Galvany,1355.13,33985.73,0.04,,0.21,33.74,,47346.0
el Coll,762.96,20168.97,0.04,8.7,0.36,31.12,4025.0,7688.0
Ciutat Meridiana,525.95,10940.08,0.05,,0.62,27.79,3959.0,11152.0
el Clot,824.33,21019.8,0.04,9.19,0.47,26.02,12620.0,26759.0
el Camp de l'Arpa del Clot,820.63,20905.12,0.04,16.63,0.55,31.05,20205.0,38838.0
les Roquetes,621.81,13242.2,0.05,3.08,0.58,27.61,7149.0,16563.0
la Trinitat Vella,607.2,12684.53,0.05,2.29,0.58,29.31,4371.0,10513.0
la Sagrera,767.27,19865.32,0.04,4.84,0.49,29.07,14037.0,29568.0
les Corts,1014.78,27699.4,0.04,11.38,0.41,27.56,23380.0,45943.0
el Camp d'en Grassot i Gràcia Nova,892.72,24426.05,0.04,17.21,0.42,30.32,18769.0,35352.0
la Verneda i la Pau,743.54,17260.68,0.04,3.78,0.58,18.17,13767.0,28798.0
Navas,820.46,20377.2,0.04,7.35,0.44,26.59,10474.0,22299.0
el Barri Gòtic,946.43,16568.03,0.06,115.99,0.53,50.0,10475.0,22850.0
Verdun,648.57,14258.2,0.05,2.52,0.53,28.98,5964.0,12865.0
la Clota,742.78,20121.82,0.04,8.0,0.33,25.81,625.0,698.0
Torre Baró,538.13,12132.96,0.04,1.15,0.5,39.01,1732.0,2923.0
el Besòs i el Maresme,710.42,14053.78,0.05,13.01,0.64,26.61,10145.0,26116.0
Provençals del Poblenou,950.33,19527.48,0.05,11.2,0.47,22.91,9467.0,21185.0
Vilapicina i la Torre Llobeta,760.62,19410.27,0.04,5.17,0.51,25.71,12368.0,25875.0
la Bordeta,832.05,20114.94,0.04,9.7,0.44,23.69,9586.0,19451.0
la Trinitat Nova,593.14,12730.5,0.05,1.44,0.55,25.38,3471.0,7628.0
el Guinardó,809.04,20818.71,0.04,7.52,0.52,30.78,19282.0,37325.0
el Bon Pastor,685.03,16106.76,0.04,2.2,0.49,25.26,5461.0,13730.0
el Parc i la Llacuna del Poblenou,975.15,22093.01,0.04,25.16,0.37,28.11,7910.0,15914.0
Diagonal Mar i el Front Marítim del Poblenou,1068.0,23795.26,0.04,27.53,0.35,25.42,6429.0,13536.0
Hostafrancs,791.02,19719.5,0.04,26.73,0.43,34.38,8268.0,16102.0
el Raval,769.1,12711.08,0.06,67.2,0.97,49.8,23558.0,48688.0
"Sant Pere, Santa Caterina i la Ribera",888.34,17884.86,0.05,80.72,0.56,48.99,14643.0,23009.0
la Vall d'Hebron,862.08,22285.05,0.04,3.39,0.32,21.16,2657.0,5932.0
Sant Genís dels Agudells,703.99,17809.55,0.04,4.01,0.41,37.46,3487.0,7385.0
el Carmel,674.78,15511.06,0.04,5.97,0.63,28.24,15579.0,32724.0
la Font de la Guatlla,824.59,20504.29,0.04,24.0,0.39,29.15,5124.0,10239.0
Can Baró,756.48,20048.63,0.04,9.14,0.38,27.76,4921.0,9320.0
Horta,749.35,20459.19,0.04,1.83,0.51,26.35,13692.0,28055.0
Vallbona,517.89,12636.95,0.04,,0.48,24.69,842.0,1401.0
la Font d'en Fargues,816.1,24657.93,0.03,2.79,0.31,19.27,5367.0,9505.0
Porta,714.71,17168.82,0.04,3.02,0.55,27.26,11581.0,27796.0
la Sagrada Família,902.64,22217.44,0.04,42.56,0.55,33.23,27445.0,52164.0
la Maternitat i Sant Ramon,934.28,25060.24,0.04,8.11,0.35,26.24,11841.0,23825.0
la Nova Esquerra de l'Eixample,962.99,25086.49,0.04,26.54,0.52,32.29,30410.0,57906.0
Sarrià,1300.6,32943.73,0.04,6.89,0.15,32.82,12915.0,24769.0
la Vila Olímpica del Poblenou,1312.84,29776.8,0.04,27.72,0.2,26.58,4725.0,9395.0
Sant Antoni,929.2,22192.61,0.04,48.97,0.5,34.98,20198.0,38700.0
la Prosperitat,676.52,16047.13,0.04,2.29,0.59,24.66,12248.0,26868.0
el Turó de la Peira,683.12,14685.2,0.05,3.4,0.54,32.78,7069.0,16186.0
Sant Andreu,766.67,21477.1,0.04,2.8,0.65,23.14,29646.0,58225.0
la Teixonera,714.14,16949.77,0.04,3.13,0.46,28.14,6061.0,12044.0
la Marina de Port,743.3,17077.41,0.04,5.3,0.62,22.27,13395.0,31092.0
la Barceloneta,830.93,16578.78,0.05,54.67,0.53,46.43,9255.0,15125.0
Baró de Viver,540.31,12542.98,0.04,2.7,0.48,26.38,1112.0,2653.0
la Dreta de l'Eixample,1190.29,27537.89,0.04,87.83,0.37,39.92,27246.0,44088.0
la Vila de Gràcia,900.98,23417.26,0.04,35.59,0.53,40.41,31832.0,50456.0
Pedralbes,1694.69,34930.51,0.05,5.38,0.08,27.27,6135.0,11808.0
l'Antiga Esquerra de l'Eixample,1074.39,26502.48,0.04,44.51,0.4,39.24,24446.0,43046.0
Sants,828.8,21722.44,0.04,16.35,0.52,33.02,21474.0,43679.0
